file_size,challenge_c,iot_to_cloud_bytes,iot_to_verifier_bytes,challenge_bytes,proof_bytes,total_communication,blockchain_storage,metadata_storage,total_storage_overhead
16384,1,19983,28479,181,0,48643,128,12924,13052
16384,5,19979,28475,313,7639,56406,128,12920,13048
16384,10,19983,28463,478,13395,62319,128,12912,13040
16384,20,19967,28471,814,24911,74163,128,12917,13045
16384,50,19975,28455,1820,59415,109665,128,12907,13035
16384,100,19971,28471,3490,117111,169043,128,12917,13045
16384,200,19971,28455,6815,232259,287500,128,12907,13035
16384,300,19983,28467,10135,347155,405740,128,12915,13043
16384,600,19971,28471,11070,379627,439139,128,12917,13045
32768,1,38691,45655,179,3151,87676,128,25807,25935
32768,5,38695,45679,313,8239,92926,128,25825,25953
32768,10,38703,45675,484,14591,99453,128,25820,25948
32768,20,38683,45675,820,27295,112473,128,25822,25950
32768,50,38687,45663,1820,65427,151597,128,25812,25940
32768,100,38703,45679,3495,128939,216816,128,25825,25953
32768,200,38715,45631,6876,256163,347385,128,25788,25916
32768,300,38683,45679,10250,382999,477611,128,25824,25952
32768,600,38675,45651,20356,764375,869057,128,25802,25930
65536,1,75999,80051,176,3271,159497,128,51603,51731
65536,5,76059,80095,315,8839,165308,128,51636,51764
65536,10,76011,80095,488,15811,172405,128,51635,51763
65536,20,76031,80087,830,29703,186651,128,51628,51756
65536,50,76043,80055,1845,71503,229446,128,51606,51734
65536,100,76043,80075,3592,141215,300925,128,51620,51748
65536,200,76039,80103,7012,280211,443365,128,51640,51768
65536,300,76031,80107,10441,419615,586194,128,51643,51771
65536,600,76043,80087,20714,837043,1013887,128,51629,51757
131072,1,150847,148839,178,3391,303255,128,103192,103320
131072,5,150839,148915,322,9463,309539,128,103249,103377
131072,10,150879,148843,495,17027,317244,128,103196,103324
131072,20,150807,148859,845,32179,332690,128,103209,103337
131072,50,150831,148891,1900,77607,379229,128,103231,103359
131072,100,150867,148947,3651,153347,456812,128,103273,103401
131072,200,150815,148851,7181,304895,611742,128,103202,103330
131072,300,150855,148891,10711,456179,766636,128,103231,103359
131072,600,150811,148843,21228,910575,1231457,128,103196,103324
262144,1,300247,286563,179,3515,590504,128,206485,206613
262144,5,300303,286427,322,10059,597111,128,206383,206511
262144,10,300371,286487,498,18239,605595,128,206430,206558
262144,20,300291,286495,861,34611,622258,128,206435,206563
262144,50,300367,286491,1918,83639,672415,128,206433,206561
262144,100,300295,286427,3700,165495,755917,128,206386,206514
262144,200,300371,286399,7258,328923,922951,128,206363,206491
262144,300,300339,286467,10822,492479,1090107,128,206414,206542
262144,600,300303,286423,21469,982419,1590614,128,206380,206508
524288,1,599351,561635,181,3639,1164806,128,412789,412917
524288,5,599383,561747,323,10651,1172104,128,412872,413000
524288,10,599503,561567,502,19435,1181007,128,412737,412865
524288,20,599439,561503,863,36987,1198792,128,412690,412818
524288,50,599423,561599,1938,89655,1252615,128,412761,412889
524288,100,599299,561535,3744,177519,1342097,128,412715,412843
524288,200,599343,561555,7319,353163,1521380,128,412730,412858
524288,300,599363,561635,10903,528587,1700488,128,412788,412916
524288,600,599343,561495,21669,1055687,2238194,128,412685,412813
