Original Size,Challenge Count,Comm: IoT->Cloud,Comm: IoT->Verifier,Comm: Verifier->Cloud,Comm: Cloud->Verifier,Blockchain: Store Payload,Blockchain: Verify Payload,Storage: Cloud Total,Storage Expansion Ratio
16384,1,32463,39959,178,0,128,0,27929,1.7047
16384,5,32455,39955,311,8227,128,8227,27924,1.7043
16384,10,32483,39951,480,14591,128,14591,27945,1.7056
16384,20,32455,39991,821,27319,128,27319,27924,1.7043
16384,50,32459,39951,1818,65415,128,65415,27928,1.7046
16384,100,32471,39935,3503,128947,128,128947,27935,1.705
16384,200,32471,39935,6854,256071,128,256071,27935,1.705
16384,300,32467,39951,10229,383287,128,383287,27932,1.7048
16384,600,32459,39951,18523,697231,128,697231,27927,1.7045
