Original Size,Challenge Count,Comm: IoT->Cloud,Comm: IoT->Verifier,Comm: Verifier->Cloud,Comm: Cloud->Verifier,Blockchain: Store Payload,Blockchain: Verify Payload,Storage: Cloud Total,Storage Expansion Ratio
16384,1,32487,39943,178,0,128,0,27948,1.7058
16384,5,32463,39983,312,8227,128,8227,27929,1.7047
16384,10,32475,39963,481,14591,128,14591,27939,1.7053
16384,20,32483,39951,817,27287,128,27287,27944,1.7056
16384,50,32475,39931,1824,65439,128,65439,27940,1.7053
16384,100,32455,39967,3513,128995,128,128995,27923,1.7043
16384,200,32471,39971,6851,256075,128,256075,27935,1.705
16384,300,32471,39955,10222,383227,128,383227,27937,1.7051
16384,600,32463,39967,18517,697207,128,697207,27931,1.7048
32768,1,63603,68631,178,3271,128,3271,55653,1.6984
32768,5,63635,68563,316,8847,128,8847,55676,1.6991
32768,10,63627,68627,485,15787,128,15787,55672,1.699
32768,20,63607,68627,819,29659,128,29659,55656,1.6985
32768,50,63627,68655,1841,71423,128,71423,55671,1.6989
32768,100,63635,68583,3550,141091,128,141091,55677,1.6991
32768,200,63643,68643,6943,280323,128,280323,55684,1.6993
32768,300,63615,68603,10317,418807,128,418807,55663,1.6987
32768,600,63599,68531,20526,837099,128,837099,55650,1.6983
65536,1,125871,125879,177,3391,128,3391,111091,1.6951
65536,5,125859,125899,320,9451,128,9451,111080,1.6949
65536,10,125835,125935,494,17011,128,17011,111063,1.6947
65536,20,125899,125915,847,32187,128,32187,111112,1.6954
65536,50,125871,125939,1892,77583,128,77583,111091,1.6951
65536,100,125899,125859,3645,153167,128,153167,111110,1.6954
65536,200,125887,125903,7102,304439,128,304439,111102,1.6953
65536,300,125847,125955,10645,455939,128,455939,111073,1.6948
65536,600,125891,125983,21186,910775,128,910775,111104,1.6953
131072,1,250587,240579,180,3515,128,3515,222106,1.6945
131072,5,250559,240619,322,10063,128,10063,222086,1.6944
131072,10,250571,240487,498,18207,128,18207,222096,1.6945
131072,20,250491,240671,856,34567,128,34567,222036,1.694
131072,50,250479,240619,1915,83659,128,83659,222025,1.6939
131072,100,250471,240531,3698,165487,128,165487,222020,1.6939
131072,200,250487,240695,7245,329059,128,329059,222032,1.694
131072,300,250519,240635,10804,492003,128,492003,222057,1.6942
131072,600,250551,240607,21438,983115,128,983115,222081,1.6943
262144,1,499739,469927,180,3631,128,3631,443923,1.6934
262144,5,499747,469983,322,10667,128,10667,443929,1.6935
262144,10,499739,470087,502,19435,128,19435,443924,1.6934
262144,20,499775,469771,860,36995,128,36995,443951,1.6935
262144,50,499799,469859,1927,89675,128,89675,443969,1.6936
262144,100,499687,469903,3718,177523,128,177523,443884,1.6933
262144,200,499663,469871,7301,353167,128,353167,443865,1.6932
262144,300,499815,469775,10870,528807,128,528807,443979,1.6936
262144,600,499775,469831,21582,1055407,128,1055407,443949,1.6935
524288,1,998139,928591,180,3759,128,3759,887627,1.693
524288,5,998207,928527,329,11283,128,11283,887677,1.6931
524288,10,998107,928375,512,20675,128,20675,887603,1.693
524288,20,998143,928691,881,39491,128,39491,887630,1.693
524288,50,998115,928475,1987,95863,128,95863,887609,1.693
524288,100,998103,928607,3818,189859,128,189859,887601,1.693
524288,200,998123,928511,7486,377507,128,377507,887615,1.693
524288,300,998119,928563,11151,565867,128,565867,887611,1.693
524288,600,998163,928467,22180,1130187,128,1130187,887646,1.6931
